エリア,打率,気温(°C)
0,0.6666666666666666,19.8
2,0.75,19.8
1,0.25,19.8
1,0.2,19.8
2,0.4,19.8
2,0.0,19.8
1,0.6,19.8
1,0.25,19.8
1,1.0,19.8
1,0.0,19.8
1,0.0,19.8
1,1.0,19.8
1,0.0,19.8
0,0.25,5.033333333333334
2,0.2,5.033333333333334
1,0.6666666666666666,5.033333333333334
1,0.3333333333333333,5.033333333333334
2,0.5,5.033333333333334
1,0.0,5.033333333333334
1,0.2,5.033333333333334
1,0.75,5.033333333333334
1,0.0,5.033333333333334
1,0.5,5.033333333333334
1,0.0,5.033333333333334
1,0.0,5.033333333333334
1,0.0,5.033333333333334
0,0.0,13.774999999999999
1,1.0,13.774999999999999
2,0.25,13.774999999999999
1,0.5,13.774999999999999
1,0.5,13.774999999999999
2,0.0,13.774999999999999
2,0.0,13.774999999999999
1,0.25,13.774999999999999
1,0.5,13.774999999999999
1,0.5,13.774999999999999
1,0.0,13.774999999999999
1,0.0,13.774999999999999
1,0.0,11.975
0,0.0,11.975
2,0.25,11.975
1,0.0,11.975
1,0.25,11.975
2,0.5,11.975
1,0.25,11.975
1,0.5,11.975
1,0.25,11.975
1,0.0,11.975
1,1.0,11.975
1,1.0,11.975
1,0.0,14.666666666666666
2,0.0,14.666666666666666
2,0.75,14.666666666666666
1,0.25,14.666666666666666
1,0.5,14.666666666666666
2,0.25,14.666666666666666
1,0.0,14.666666666666666
1,0.25,14.666666666666666
1,0.0,14.666666666666666
1,0.0,14.666666666666666
0,0.6666666666666666,11.5
2,0.5,11.5
1,0.25,11.5
1,0.75,11.5
2,0.3333333333333333,11.5
1,0.3333333333333333,11.5
2,0.5,11.5
1,0.0,11.5
1,0.0,11.5
1,1.0,11.5
1,1.0,11.5
0,0.5,12.05
2,0.0,12.05
1,0.25,12.05
1,0.25,12.05
2,0.0,12.05
1,0.5,12.05
1,0.0,12.05
1,0.0,12.05
1,0.0,12.05
1,0.0,12.05
1,0.0,12.05
1,0.0,12.05
0,0.0,15.666666666666666
2,0.5,15.666666666666666
1,0.25,15.666666666666666
1,0.5,15.666666666666666
2,0.0,15.666666666666666
1,0.3333333333333333,15.666666666666666
2,0.0,15.666666666666666
1,0.0,15.666666666666666
1,0.0,15.666666666666666
1,0.0,15.666666666666666
1,0.0,15.666666666666666
1,0.0,16.333333333333332
2,0.5,16.333333333333332
1,0.25,16.333333333333332
1,0.25,16.333333333333332
1,0.25,16.333333333333332
2,0.25,16.333333333333332
1,0.0,16.333333333333332
1,0.0,16.333333333333332
1,0.0,16.333333333333332
1,0.0,16.333333333333332
2,0.0,16.333333333333332
0,0.0,17.04
2,0.0,17.04
1,0.5,17.04
1,0.6,17.04
2,0.0,17.04
1,0.4,17.04
1,0.25,17.04
1,0.0,17.04
1,0.2,17.04
1,0.0,17.04
1,0.0,17.04
2,0.0,17.04
0,0.2,15.275
2,0.2,15.275
1,0.2,15.275
1,1.0,15.275
2,0.25,15.275
1,0.3333333333333333,15.275
2,0.25,15.275
1,0.5,15.275
1,0.0,15.275
1,1.0,15.275
0,0.0,18.025
1,0.0,18.025
2,0.0,18.025
1,0.0,18.025
1,0.25,18.025
2,0.3333333333333333,18.025
2,0.0,18.025
1,0.5,18.025
1,0.0,18.025
1,0.3333333333333333,18.025
1,0.0,18.025
1,0.0,18.025
0,0.0,17.766666666666666
1,0.0,17.766666666666666
1,0.2,17.766666666666666
1,0.75,17.766666666666666
1,0.0,17.766666666666666
2,0.0,17.766666666666666
1,0.0,17.766666666666666
2,0.25,17.766666666666666
1,0.3333333333333333,17.766666666666666
1,0.5,17.766666666666666
2,1.0,17.766666666666666
1,0.0,17.766666666666666
1,0.6666666666666666,17.475
1,0.0,17.475
1,0.4,17.475
1,0.0,17.475
2,0.2,17.475
1,0.3333333333333333,17.475
2,0.3333333333333333,17.475
0,0.0,17.475
1,0.0,17.475
1,0.5,17.475
1,0.0,17.475
1,1.0,17.475
1,0.25,15.933333333333332
1,0.3333333333333333,15.933333333333332
1,0.5,15.933333333333332
1,0.25,15.933333333333332
1,0.0,15.933333333333332
2,0.0,15.933333333333332
1,0.3333333333333333,15.933333333333332
0,0.0,15.933333333333332
1,1.0,15.933333333333332
1,0.3333333333333333,17.1
1,0.3333333333333333,17.1
1,0.5,17.1
1,0.5,17.1
1,0.3333333333333333,17.1
1,0.0,17.1
1,0.25,17.1
1,0.0,17.1
2,0.0,17.1
0,0.0,17.1
1,0.0,17.1
1,0.0,17.1
1,0.0,20.2
1,0.0,20.2
1,0.0,20.2
1,0.0,20.2
1,0.0,20.2
1,0.25,20.2
1,0.5,20.2
2,0.25,20.2
0,0.6666666666666666,20.2
0,0.25,20.2
1,0.0,20.2
1,0.0,20.2
1,0.0,20.2
1,0.5,20.225
0,0.4,20.225
1,0.25,20.225
1,0.25,20.225
1,0.0,20.225
1,0.3333333333333333,20.225
2,0.25,20.225
1,0.3333333333333333,20.225
0,0.0,20.225
1,1.0,20.225
1,0.0,20.225
1,1.0,20.225
1,0.6666666666666666,19.875
0,0.6,19.875
1,0.4,19.875
1,0.4,19.875
1,0.5,19.875
2,0.3333333333333333,19.875
1,0.0,19.875
1,0.0,19.875
1,0.0,19.875
0,0.0,19.875
1,0.0,19.875
1,0.0,19.875
1,1.0,19.875
1,1.0,19.875
1,0.2,20.4
0,0.5,20.4
1,0.25,20.4
1,0.0,20.4
1,0.4,20.4
2,0.25,20.4
1,0.25,20.4
0,0.0,20.4
1,0.0,20.4
1,0.0,20.4
1,0.0,20.4
1,0.0,20.4
1,0.6666666666666666,18.8
0,0.0,18.8
1,0.0,18.8
1,0.6666666666666666,18.8
1,0.5,18.8
1,0.3333333333333333,18.8
1,0.25,18.8
2,0.25,18.8
1,0.0,18.8
0,0.0,18.8
1,0.0,18.8
1,0.0,18.8
1,0.3333333333333333,17.25
0,0.0,17.25
1,0.3333333333333333,17.25
1,0.0,17.25
1,0.3333333333333333,17.25
1,0.5,17.25
2,0.0,17.25
1,1.0,17.25
0,0.0,17.25
1,0.0,17.25
1,0.0,17.25
1,0.0,17.25
1,0.0,21.075
0,0.5,21.075
1,0.25,21.075
1,0.2,21.075
1,0.0,21.075
1,0.2,21.075
2,0.75,21.075
1,0.25,21.075
1,0.0,21.075
1,0.0,21.075
1,0.0,21.075
1,0.0,21.075
1,0.0,18.133333333333336
0,0.3333333333333333,18.133333333333336
1,0.0,18.133333333333336
1,0.3333333333333333,18.133333333333336
1,0.0,18.133333333333336
2,0.0,18.133333333333336
1,0.3333333333333333,18.133333333333336
1,0.3333333333333333,18.133333333333336
1,0.5,18.133333333333336
1,0.0,18.133333333333336
1,0.2,18.52
2,0.5,18.52
1,0.3333333333333333,18.52
1,0.4,18.52
1,0.0,18.52
1,0.2,18.52
1,0.0,18.52
1,0.0,18.52
1,0.0,18.52
1,0.0,18.52
1,0.0,18.52
1,0.0,18.52
0,1.0,18.52
1,0.5,21.53333333333333
2,0.3333333333333333,21.53333333333333
1,0.0,21.53333333333333
1,0.5,21.53333333333333
1,0.0,21.53333333333333
1,0.3333333333333333,21.53333333333333
1,0.0,21.53333333333333
1,0.0,21.53333333333333
1,0.3333333333333333,21.53333333333333
1,0.0,21.53333333333333
1,0.0,21.53333333333333
1,0.2,25.066666666666666
2,0.0,25.066666666666666
1,0.5,25.066666666666666
1,0.25,25.066666666666666
2,0.0,25.066666666666666
1,0.5,25.066666666666666
1,0.25,25.066666666666666
1,0.3333333333333333,25.066666666666666
1,1.0,25.066666666666666
2,0.0,25.066666666666666
1,0.0,25.066666666666666
1,0.25,18.533333333333335
0,0.0,18.533333333333335
1,0.0,18.533333333333335
1,0.25,18.533333333333335
1,0.25,18.533333333333335
2,0.0,18.533333333333335
1,0.0,18.533333333333335
1,0.0,18.533333333333335
2,0.0,18.533333333333335
1,0.0,18.533333333333335
1,0.0,18.533333333333335
1,0.0,13.875
0,0.5,13.875
1,0.6666666666666666,13.875
1,0.0,13.875
1,0.0,13.875
2,0.0,13.875
1,0.25,13.875
2,0.5,13.875
1,0.0,13.875
1,0.25,13.875
1,0.0,13.875
1,0.3333333333333333,13.875
1,0.75,18.225
2,0.3333333333333333,18.225
0,0.25,18.225
1,0.0,18.225
1,0.3333333333333333,18.225
2,0.25,18.225
2,0.25,18.225
1,0.0,18.225
1,0.5,18.225
1,0.0,18.225
1,0.0,18.225
1,0.2,18.099999999999998
2,0.6666666666666666,18.099999999999998
0,0.25,18.099999999999998
1,0.0,18.099999999999998
1,0.0,18.099999999999998
2,0.0,18.099999999999998
2,0.25,18.099999999999998
1,0.5,18.099999999999998
1,0.0,18.099999999999998
1,0.0,18.099999999999998
1,0.0,18.099999999999998
1,0.25,21.325
0,0.5,21.325
1,0.25,21.325
2,0.0,21.325
1,0.0,21.325
1,0.3333333333333333,21.325
2,0.0,21.325
1,0.3333333333333333,21.325
2,0.0,21.325
1,0.0,21.325
1,0.0,21.066666666666666
0,0.0,21.066666666666666
1,0.25,21.066666666666666
2,0.25,21.066666666666666
1,0.0,21.066666666666666
1,0.3333333333333333,21.066666666666666
2,0.0,21.066666666666666
1,0.3333333333333333,21.066666666666666
0,0.0,21.066666666666666
1,0.0,21.066666666666666
1,0.4,21.54
0,0.2,21.54
1,0.2,21.54
1,0.0,21.54
1,0.0,21.54
1,0.0,21.54
1,0.6666666666666666,21.54
2,0.3333333333333333,21.54
1,0.5,21.54
1,0.25,21.54
1,0.0,21.54
2,0.0,21.54
1,0.5,21.54
1,0.25,22.275
1,0.0,22.275
1,0.6666666666666666,22.275
2,0.0,22.275
1,0.0,22.275
0,0.3333333333333333,22.275
1,0.0,22.275
1,0.3333333333333333,22.275
1,0.0,22.275
1,0.0,22.275
2,0.0,22.275
1,0.0,22.575
2,0.0,22.575
1,0.0,22.575
2,0.0,22.575
1,0.0,22.575
1,0.75,22.575
1,0.25,22.575
1,0.3333333333333333,22.575
1,0.0,22.575
0,0.0,22.575
1,0.0,21.433333333333334
1,0.5,21.433333333333334
1,0.25,21.433333333333334
2,0.0,21.433333333333334
1,0.3333333333333333,21.433333333333334
1,0.0,21.433333333333334
2,0.3333333333333333,21.433333333333334
1,0.0,21.433333333333334
1,0.0,21.433333333333334
1,1.0,21.433333333333334
1,0.0,23.366666666666664
1,0.0,23.366666666666664
1,0.0,23.366666666666664
2,0.5,23.366666666666664
1,0.0,23.366666666666664
1,0.3333333333333333,23.366666666666664
2,0.3333333333333333,23.366666666666664
1,0.0,23.366666666666664
2,0.5,23.366666666666664
1,0.0,23.366666666666664
0,0.0,25.666666666666668
1,0.0,25.666666666666668
1,0.5,25.666666666666668
2,0.6666666666666666,25.666666666666668
1,0.25,25.666666666666668
1,0.0,25.666666666666668
1,0.0,25.666666666666668
2,0.5,25.666666666666668
1,0.25,25.666666666666668
0,0.0,25.666666666666668
1,1.0,25.666666666666668
1,0.5,25.666666666666668
1,0.25,18.666666666666668
1,0.25,18.666666666666668
1,0.25,18.666666666666668
2,0.3333333333333333,18.666666666666668
1,0.5,18.666666666666668
2,0.5,18.666666666666668
1,0.0,18.666666666666668
1,0.25,18.666666666666668
1,0.3333333333333333,18.666666666666668
1,0.0,17.099999999999998
1,0.0,17.099999999999998
1,0.25,17.099999999999998
2,0.6666666666666666,17.099999999999998
1,0.0,17.099999999999998
2,0.3333333333333333,17.099999999999998
1,0.5,17.099999999999998
1,0.5,17.099999999999998
2,0.0,17.099999999999998
1,0.25,19.825
1,0.0,19.825
1,0.6666666666666666,19.825
2,0.0,19.825
1,0.0,19.825
1,0.5,19.825
0,0.0,19.825
1,0.25,19.825
1,0.3333333333333333,19.825
1,0.0,19.825
1,0.0,19.825
1,0.4,17.025
1,0.0,17.025
1,0.25,17.025
2,0.5,17.025
1,0.0,17.025
2,0.3333333333333333,17.025
1,0.0,17.025
1,0.6666666666666666,17.025
1,0.0,17.025
1,0.0,17.025
1,0.0,17.025
1,1.0,17.025
1,0.6666666666666666,20.766666666666666
1,0.0,20.766666666666666
1,0.0,20.766666666666666
1,0.75,20.766666666666666
2,0.25,20.766666666666666
1,0.25,20.766666666666666
1,0.0,20.766666666666666
