matchID,開始時間,終了時間
2025328,18,21
2025329,14,16
2025330,14,17
202541,18,21
202542,18,20
202543,18,21
202544,18,21
202545,14,16
202546,13,15
202548,18,22
202549,18,21
2025411,18,21
2025412,14,16
2025413,13,16
2025415,18,20
2025416,18,20
2025417,18,21
2025418,18,21
2025419,18,21
2025420,18,21
2025422,18,20
2025423,18,21
2025425,18,20
2025426,14,17
2025427,14,17
2025429,14,17
2025430,18,20
202551,18,22
202553,14,16
202554,14,16
202555,18,20
202556,18,21
202557,18,21
202559,18,20
2025510,18,21
2025511,18,20
2025513,18,22
2025514,18,21
2025515,18,21
2025516,18,20
2025517,18,20
2025518,14,16
2025520,18,20
2025521,18,22
2025522,18,22
2025523,18,20
2025524,18,20
2025525,14,17
2025527,18,21
2025528,18,20
2025530,18,21
2025531,14,17
202561,13,16
202564,18,20
202565,18,21
202566,18,21
202567,14,16
202568,14,16
2025610,18,21
2025611,18,21
2025612,18,21
2025613,18,21
2025614,18,21
2025615,14,17
2025617,18,20
2025618,18,20
2025619,18,20
2025620,18,20
2025621,14,16
2025622,14,17
2025624,18,21
2025627,18,21
2025628,14,17
2025629,14,16
202571,18,21
202572,18,21
202573,18,21
202574,18,20
202575,18,21
202576,14,17
202578,18,21
202579,18,22
2025711,18,21
2025712,18,21
2025713,18,21
2025717,18,21
2025719,18,21
2025720,14,16
2025721,14,17
2025726,18,21
2025727,18,22
2025729,18,21
2025730,18,21
2025731,18,21
202581,18,21
202582,15,18
202583,14,16
202585,18,20
202586,18,20
202587,18,21
202588,18,21
202589,18,21
2025811,14,16
2025812,18,20
2025813,18,21
2025815,18,21
2025816,14,16
2025817,13,16
2025819,18,21
2025820,18,21
2025821,18,21
2025822,18,21
2025823,14,16
2025824,14,16
2025826,18,20
2025827,19,21
2025828,18,21
2025829,18,21
2025830,18,21
2025831,18,21
202592,18,21
202593,18,21
202594,18,21
202595,18,20
202596,14,18
202597,13,17
202599,18,20
2025910,18,21
2025911,18,21
2025913,14,18
2025914,18,21
2025915,18,20
2025917,18,21
2025918,18,21
2025919,18,21
2025920,14,16
2025921,13,16
2025923,18,20
2025926,18,21
2025927,14,18
2025928,18,21
2025930,18,21
2025101,18,20
20251011,14,16
20251012,14,18
