matchID,開始時間,終了時間
2025328,18,21
2025329,14,17
2025330,13,16
202542,14,17
202543,14,17
202544,18,20
202545,14,16
202546,14,16
202548,18,21
202549,18,20
2025411,18,21
2025412,14,17
2025415,18,21
2025416,18,20
2025418,18,21
2025419,16,19
2025420,13,15
2025422,18,21
2025423,18,20
2025425,18,20
2025426,14,16
2025427,13,16
2025429,13,15
2025430,18,20
202552,18,21
202553,14,16
202554,13,16
202555,15,18
202557,18,21
202559,18,20
2025510,18,21
2025511,14,16
2025513,13,15
2025514,13,15
2025515,18,20
2025516,18,20
2025518,14,17
2025520,18,20
2025521,18,20
2025522,18,21
2025523,18,20
2025524,14,16
2025525,14,17
2025527,18,21
2025528,18,21
2025530,18,20
2025531,14,16
202561,13,15
202564,18,20
202565,18,21
202566,18,20
202567,14,17
202568,13,16
2025610,18,20
2025611,18,22
2025612,18,20
2025613,18,21
2025614,14,16
2025615,14,17
2025617,18,21
2025618,18,21
2025619,18,20
2025620,18,21
2025621,14,16
2025622,14,17
2025624,18,21
2025627,18,20
2025628,18,20
2025629,17,19
202571,18,21
202572,18,21
202574,18,21
202575,18,21
202576,14,17
202578,18,22
202579,18,20
2025711,18,22
2025712,18,20
2025713,17,19
2025715,18,21
2025716,18,20
2025717,18,21
2025718,18,21
2025719,18,21
2025720,18,21
2025721,17,19
2025726,18,20
2025727,14,18
2025729,18,21
2025730,18,21
2025731,18,21
202581,18,20
202582,18,22
202583,17,20
202585,18,21
202586,18,21
202587,18,21
202589,18,21
2025811,17,20
2025813,18,21
2025814,18,21
2025815,18,20
2025816,14,16
2025817,13,15
2025819,18,21
2025820,18,21
2025821,18,21
2025822,18,20
2025823,18,20
2025824,17,20
2025826,18,22
2025827,18,21
2025829,18,20
2025830,18,21
2025831,16,19
202592,18,21
202593,18,20
202594,18,21
202595,18,21
202596,17,19
202597,18,20
202598,18,20
202599,18,21
2025911,18,20
2025912,18,21
2025913,14,18
2025914,13,16
2025915,13,17
2025916,18,21
2025917,18,20
2025918,18,20
2025920,14,17
2025921,14,16
2025922,14,17
2025923,18,20
2025924,18,20
2025925,18,20
2025927,18,20
2025928,17,20
2025929,18,20
2025930,18,20
2025104,14,16
2025105,14,17
