matchID,球場
2025328,みずほPayPay
2025329,みずほPayPay
2025330,みずほPayPay
202542,ZOZOマリン
202543,ZOZOマリン
202544,ZOZOマリン
202545,ZOZOマリン
202546,ZOZOマリン
202548,ベルーナドーム
202549,県営大宮
2025411,ZOZOマリン
2025412,ZOZOマリン
2025415,ZOZOマリン
2025416,ZOZOマリン
2025418,楽天モバイル
2025419,楽天モバイル
2025420,楽天モバイル
2025422,ZOZOマリン
2025423,ZOZOマリン
2025425,エスコンＦ
2025426,エスコンＦ
2025427,エスコンＦ
2025429,京セラD大阪
2025430,京セラD大阪
202552,みずほPayPay
202553,みずほPayPay
202554,みずほPayPay
202555,ZOZOマリン
202557,ZOZOマリン
202559,県営大宮
2025510,ベルーナドーム
2025511,ベルーナドーム
2025513,楽天モバイル
2025514,楽天モバイル
2025515,東京ドーム
2025516,ZOZOマリン
2025518,ZOZOマリン
2025520,京セラD大阪
2025521,京セラD大阪
2025522,京セラD大阪
2025523,ZOZOマリン
2025524,ZOZOマリン
2025525,ZOZOマリン
2025527,ZOZOマリン
2025528,ZOZOマリン
2025530,エスコンＦ
2025531,エスコンＦ
202561,エスコンＦ
202564,ZOZOマリン
202565,ZOZOマリン
202566,バンテリンドーム
202567,バンテリンドーム
202568,バンテリンドーム
2025610,ZOZOマリン
2025611,ZOZOマリン
2025612,ZOZOマリン
2025613,ZOZOマリン
2025614,ZOZOマリン
2025615,ZOZOマリン
2025617,甲子園
2025618,甲子園
2025619,甲子園
2025620,横　浜
2025621,横　浜
2025622,横　浜
2025624,ZOZOマリン
2025627,ZOZOマリン
2025628,ZOZOマリン
2025629,ZOZOマリン
202571,楽天モバイル
202572,楽天モバイル
202574,ほっと神戸
202575,ほっと神戸
202576,京セラD大阪
202578,ZOZOマリン
202579,ZOZOマリン
2025711,ZOZOマリン
2025712,ZOZOマリン
2025713,ZOZOマリン
2025715,みずほPayPay
2025716,みずほPayPay
2025717,北九州
2025718,ZOZOマリン
2025719,ZOZOマリン
2025720,ZOZOマリン
2025721,ZOZOマリン
2025726,エスコンＦ
2025727,エスコンＦ
2025729,ZOZOマリン
2025730,ZOZOマリン
2025731,東京ドーム
202581,ベルーナドーム
202582,ベルーナドーム
202583,ベルーナドーム
202585,ZOZOマリン
202586,ZOZOマリン
202587,ZOZOマリン
202589,ZOZOマリン
2025811,ZOZOマリン
2025813,エスコンＦ
2025814,エスコンＦ
2025815,みずほPayPay
2025816,みずほPayPay
2025817,みずほPayPay
2025819,ZOZOマリン
2025820,ZOZOマリン
2025821,ZOZOマリン
2025822,ZOZOマリン
2025823,ZOZOマリン
2025824,ZOZOマリン
2025826,京セラD大阪
2025827,ほっと神戸
2025829,ZOZOマリン
2025830,ZOZOマリン
2025831,ZOZOマリン
202592,ZOZOマリン
202593,ZOZOマリン
202594,ZOZOマリン
202595,ベルーナドーム
202596,ベルーナドーム
202597,ベルーナドーム
202598,ZOZOマリン
202599,ZOZOマリン
2025911,ZOZOマリン
2025912,楽天モバイル
2025913,楽天モバイル
2025914,楽天モバイル
2025915,楽天モバイル
2025916,京セラD大阪
2025917,京セラD大阪
2025918,ZOZOマリン
2025920,エスコンＦ
2025921,エスコンＦ
2025922,エスコンＦ
2025923,ZOZOマリン
2025924,ZOZOマリン
2025925,京セラD大阪
2025927,ZOZOマリン
2025928,ZOZOマリン
2025929,ベルーナドーム
2025930,ZOZOマリン
2025104,ZOZOマリン
2025105,ZOZOマリン
